"Part";"Value";"Device";"Package";"Description";"";
"D1";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"";
"D2";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"";
"D3";"PINK";"LED-PINK1206";"LED-1206";"Pink SMD LED";"";
"D4";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";
"D5";"LED-IRSIDE_EMITTER";"LED-IRSIDE_EMITTER";"LTE-302";"Infrared LED (IR)";"";
"LCD1";"LCD-16X28X2";"LCD-16X28X2";"LCD-8X2";"Standard text-only 16x2 parallel input LCD";"";
"PH1";"PHOTOCELLD11";"PHOTOCELLD11";"D11XX_H";"Photo Sensor";"";
"R1";"2.2k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R2";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R3";"1k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R4";"1k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R5";"220";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R6";"220";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R7";"220";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R8";"220";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R9";"220";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"SW1";"";"SWITCH_PUSHBUTTONEVQ-PE";"TACT_PANA-EVQ";"Buttons";"";
"SW2";"";"SWITCH_PUSHBUTTONEVQ-PE";"TACT_PANA-EVQ";"Buttons";"";
"U$1";"TEENSY_4.0";"TEENSY_4.0";"TEENSY_4.0";"";"";
